iteration,param_change,price_change,damping,chi_n_iterations,pref_nfev,pref_cost,ge_seconds,r_p,r,w,factor,TR
1,5.6847587977077865,0.6373986190231301,1.0,5,1740,0.5456369232278839,70.49216675758362,0.03687573202056014,0.050828502048677955,1.3732010818901423,265730.0641027631,0.04952648786596615
2,1.8691650403056697,0.14784691251369123,1.0,4,212,0.48827821306075625,14.775889873504639,0.03668094542505521,0.0504848855206344,1.3761077451860797,305017.43364242185,0.043120295140850945
3,0.19566537072069368,0.04300043740335835,1.0,3,127,0.4619810523006189,16.783210039138794,0.035932559420167536,0.04917217257307994,1.3873629050944187,305133.3574493884,0.043011696857819734
4,0.08858232029413049,0.018437557091362126,1.0,2,353,0.4605485253218744,13.849385023117065,0.03567424857841585,0.048721819572952026,1.391280348993512,303964.89085701434,0.04314698836082574
5,0.014225633803988114,0.0068062113017633916,1.0,1,239,0.4608424819434061,15.713648080825806,0.03556812495679347,0.04853720264616356,1.3928946904322632,303466.25432514166,0.043205609275643195
6,0.004913081303236311,0.0021189093186268224,1.0,2,141,0.46094955327955756,14.25839614868164,0.035535422440888,0.04848035942530337,1.393392736544681,303278.4033242107,0.04322859761297054
7,0.0024382669572329263,0.0008954609185940901,1.0,1,113,0.46094430417724197,19.93625497817993,0.03552069814014135,0.04845477306052038,1.3936170708799687,303224.0869360211,0.043234657832457765
