Moment,SCF data,Current parameters,Calibrated parameters
Share 0-25%,-0.004564110867590205,0.02124135737838717,0.009107900531950097
Share 25-50%,0.019473000616056023,0.06521050260504124,0.03667132048492694
Share 50-70%,0.05518509934731778,0.11871505302891305,0.061559430599222864
Share 70-80%,0.0556960964642792,0.10006786523354971,0.04898392175026056
Share 80-90%,0.10954867743956384,0.15735436127124436,0.10230865256244115
Share 90-99%,0.3920567561506616,0.343025333033118,0.3920710709778584
Share 99-100%,0.37260448084971176,0.19438552744974646,0.34929770309333996
Gini Coefficient,0.8523785577408489,0.6639450845738679,0.8055706195087282
var(ln(Wealth)),5.258940908727895,1.7127333218113165,2.5825921525910682
