year,age,networth,networth_infadj,wgt,income,wageinc,bussefarminc,intdivinc,kginc,ssretinc,transfothinc,income_infadj
2010,75,488079.70037453185,580416.6843980361,7095.383369791004,74948.04040230931,29146.46015645362,0.0,0.0,0.0,56904.99363879041,0.0,89127.0279814086
2010,75,299190.5617977528,355792.69891491433,7139.730803024964,72172.18705407564,47189.506919972526,0.0,0.0,0.0,48577.43359408938,0.0,85826.02694506013
2010,75,452487.14107365796,538090.5740459743,7294.390247398091,84663.52712112719,36086.09352703782,0.0,0.0,0.0,34698.16685292098,0.0,100680.53160862823
2010,75,289343.19600499375,344082.3667722295,6989.430711489619,108258.28058111346,27758.53348233679,0.0,0.0,0.0,37474.02020115466,0.0,128739.04041759021
2010,75,363027.71535580524,431706.83544044656,7121.527559794425,92991.08716582823,31922.313504687303,0.0,0.0,0.0,33310.24017880414,0.0,110583.53471767364
2010,59,179601.74781523095,213579.56681873108,5187.788713821512,45801.58024585569,0.0,0.0,0.0,0.0,0.0,47189.506919972526,54466.51709974969
2010,59,179601.74781523095,213579.56681873108,5256.336106805837,47189.506919972526,0.0,0.0,0.0,0.0,0.0,45801.58024585569,56117.01761792393
2010,59,179601.74781523095,213579.56681873108,5303.194254225602,47189.506919972526,0.0,0.0,0.0,0.0,0.0,45801.58024585569,56117.01761792393
2010,59,179601.74781523095,213579.56681873108,5099.262111481632,47189.506919972526,0.0,0.0,0.0,0.0,0.0,47189.506919972526,56117.01761792393
2010,59,179601.74781523095,213579.56681873108,5234.807490744228,47189.506919972526,0.0,0.0,0.0,0.0,0.0,47189.506919972526,56117.01761792393
2010,94,146139.8252184769,173787.1760426177,6264.2303660144735,24982.680134103106,0.0,0.0,0.0,0.0,24982.680134103106,0.0,29709.009327136202
2010,94,143544.81897627964,170701.2355334497,6303.382942195449,23594.753459986263,0.0,0.0,0.0,0.0,24982.680134103106,0.0,28058.508808961964
2010,94,141905.86766541822,168752.22047502783,6439.9255837048395,20818.900111752588,0.0,0.0,0.0,0.0,20818.900111752588,0.0,24757.5077726135
2010,94,148871.41073657927,177035.53447332082,6170.688999057856,18043.04676351891,0.0,0.0,0.0,0.0,18043.04676351891,0.0,21456.506736265033
2010,94,147232.45942571785,175086.51941489897,6287.312026353159,22206.826785869427,0.0,0.0,0.0,0.0,22206.826785869427,0.0,26408.008290787733
2010,63,265646.6916354557,315902.85738587985,3869.5574169823403,127689.25401874921,108258.28058111346,0.0,69.39633370584195,0.0,13462.888738933341,0.0,151846.04767202947
2010,63,254720.34956304618,302909.4236630673,3939.023978064476,137404.74073756707,123525.47399639868,0.0,69.39633370584195,0.0,13462.888738933341,0.0,163399.55129924908
2010,63,253081.39825218476,300960.4086046454,3975.5958867530403,115197.91395169766,111034.13392934715,0.0,333.1024017880414,0.0,13324.096071521655,0.0,136991.54300846136
2010,63,266725.6679151061,317185.9589660076,3810.856063732026,130465.10736698288,122137.54732228185,0.0,291.4646015645362,0.0,11242.206060346398,0.0,155147.04870837793
2010,63,243247.69038701622,289266.3182541141,3907.7120495053555,117973.76729993134,108258.28058111346,0.0,485.7743359408937,0.0,13046.51073669829,0.0,140292.54404480985
2010,50,115696.30461922596,137584.22133243125,4066.4401638166337,104094.50055876294,76335.96707642615,29146.46015645362,0.0,0.0,73560.11372819247,0.0,123787.5388630675
2010,50,114193.93258426966,135797.62419554454,4090.3308219501896,104094.50055876294,76335.96707642615,22206.826785869427,0.0,0.0,72172.18705407564,0.0,123787.5388630675
2010,50,108047.86516853933,128488.81772646248,4081.1720970636534,104094.50055876294,76335.96707642615,24982.680134103106,0.0,0.0,69396.33370584196,0.0,123787.5388630675
2010,50,113101.29837702871,134498.28082326328,3979.6465712953964,104094.50055876294,76335.96707642615,22206.826785869427,0.0,0.0,70784.2603799588,0.0,123787.5388630675
2010,50,119206.39200998751,141758.3619158848,4063.537123758965,104094.50055876294,76335.96707642615,26370.60680821994,0.0,0.0,70784.2603799588,0.0,123787.5388630675
2010,23,5230.986267166042,6220.606394796502,4774.192097096808,11103.413392934714,10964.62072552303,0.0,0.0,0.0,0.0,0.0,13204.004145393867
2010,23,5244.6441947565545,6236.848186950018,4765.790807326851,11658.584062581449,11658.584062581449,0.0,0.0,0.0,0.0,0.0,13864.204352663559
2010,23,5230.986267166042,6220.606394796502,4770.901991749566,12630.132734463237,12630.132734463237,0.0,0.0,0.0,0.0,0.0,15019.554715385524
2010,23,5244.6441947565545,6236.848186950018,4773.122605086078,10548.242723287978,10548.242723287978,0.0,0.0,0.0,0.0,0.0,12543.803938124174
2010,23,5230.986267166042,6220.606394796502,4768.704095682961,13185.30340410997,13046.51073669829,0.0,0.0,0.0,0.0,0.0,15679.754922655215
2010,68,1514718.8014981274,1801279.7169935023,2295.5944148513217,292852.52823865303,0.0,29146.46015645362,1054.8242723287979,-2498.2680134103107,155447.787501086,104094.50055876294,348255.6093347632
2010,68,1465099.5505617978,1742273.28609978,2122.0157098135164,309507.6483280551,0.0,29146.46015645362,1054.8242723287979,-2498.2680134103107,152671.9341528523,84663.52712112719,368061.61555285397
2010,68,1422200.0,1691257.816945587,5700.204033938606,270645.70145278366,0.0,29146.46015645362,1054.8242723287979,-2359.4753459986264,144344.37410815127,104094.50055876294,321847.6010439755
